,number,value,duration,params_Filter,params_Kernel,system_attrs_grid_id,system_attrs_search_space,ID_G,ID_MSE,OD_G,OD_MSE
0,0,0.723145625,0 days 00:01:36.797434,10,6,24,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.917724532,0.00242958,0.723145625,0.009743112
1,1,0.890595625,0 days 00:01:13.551341,8,5,1,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.955666103,0.003162285,0.890595625,0.010483067
2,2,0.873871,0 days 00:04:01.549779,14,13,75,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.995315862,0.001259619,0.873871,0.007459462
3,3,0.863608,0 days 00:02:38.132882,11,13,42,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.981310536,0.00138413,0.863608,0.00842488
4,4,0.839443187,0 days 00:03:57.633978,12,14,54,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.999930892,0.001310189,0.839443187,0.007685869
5,5,0.54262875,0 days 00:01:49.333009,9,10,17,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.667756029,0.003110909,0.54262875,0.010696862
6,6,0.893688875,0 days 00:01:43.395124,10,9,27,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.824384112,0.001665246,0.893688875,0.008059358
7,7,0.86635825,0 days 00:02:35.536024,9,14,21,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.990083273,0.001467434,0.86635825,0.008409863
8,8,0.766691687,0 days 00:01:56.761295,13,7,58,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.676053551,0.001868854,0.766691687,0.008642092
9,9,0.819766125,0 days 00:01:18.976727,9,5,12,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.860400871,0.002700518,0.819766125,0.009532607
10,10,0.959870938,0 days 00:01:37.266482,9,8,15,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.970281452,0.002379961,0.959870938,0.009694869
